FILENAME,WORDTYPES,SWORDTYPES,LEXTYPES,SLEXTYPES,WORDTOKENS,SWORDTOKENS,LEXTOKENS,SLEXTOKENS,LD,LS1,LS2,VS1,VS2,CVS1,NDW,NDWZ,NDWERZ,NDWESZ,TTR,MSTTR,CTTR,RTTR,LOGTTR,UBER,LV,VV1,SVV1,CVV1,VV2,NV,ADJV,ADVV,MODV
1000SCN,124,29,85,27,264,36,125,34,0.47,0.27,0.23,0.06,0.11,0.24,124,32,37.1,33.5,0.47,0.7,5.4,7.63,0.86,17.87,0.63,13.83,2.63,0.68,0.18,0.69,0.1,0.14,0.23
1001SCN,362,83,285,80,1119,118,569,111,0.51,0.2,0.23,0.04,0.26,0.36,362,34,41.2,35.5,0.32,0.73,7.65,10.82,0.84,18.97,0.46,29.96,3.87,0.5,0.11,0.57,0.08,0.09,0.17
1002SCN,155,29,104,29,340,37,150,37,0.44,0.25,0.19,0.05,0.1,0.22,155,43,39,37.8,0.46,0.78,5.94,8.41,0.87,18.78,0.62,16.1,2.84,0.69,0.17,0.74,0.11,0.14,0.25
1003SCN,85,13,54,13,161,23,82,23,0.51,0.28,0.15,0.11,0.21,0.32,85,41,38.6,35.4,0.53,0.72,4.74,6.7,0.87,17.56,0.74,10.32,2.27,0.66,0.17,0.59,0.09,0.13,0.22
1004SCN,209,45,158,45,685,80,318,78,0.46,0.25,0.22,0.07,0.42,0.46,209,34,37.2,34,0.31,0.71,5.65,7.99,0.82,15.6,0.49,20.75,3.22,0.5,0.13,0.46,0.1,0.13,0.23
1006SCN,150,32,106,30,340,46,170,44,0.5,0.26,0.21,0.1,0.4,0.45,150,40,38.9,38.6,0.44,0.77,5.75,8.13,0.86,18.03,0.62,15.62,2.8,0.62,0.15,0.63,0.1,0.15,0.25
1009SCN,199,39,138,35,474,59,240,53,0.51,0.22,0.2,0.08,0.42,0.46,199,40,39.9,38.2,0.42,0.76,6.46,9.14,0.86,19,0.56,18.46,3.04,0.57,0.14,0.63,0.1,0.09,0.19
1010SCN,142,32,97,32,272,35,117,35,0.43,0.3,0.23,0.1,0.3,0.39,142,34,39.3,39.1,0.52,0.74,6.09,8.61,0.88,21,0.7,14.7,2.71,0.83,0.18,0.88,0.1,0.17,0.27
1011SCN,93,13,62,13,153,14,74,14,0.48,0.19,0.14,0,0,0,93,36,39.1,38.1,0.61,0.74,5.32,7.52,0.9,22.08,0.73,13.88,2.63,0.84,0.26,0.88,0.11,0.09,0.2
1012SCN,141,28,101,28,344,34,168,34,0.49,0.2,0.2,0.04,0.09,0.21,141,38,38.3,35.3,0.41,0.73,5.38,7.6,0.85,16.61,0.47,9.8,2.21,0.6,0.12,0.71,0.09,0.15,0.24
1013SCN,152,25,105,25,320,36,161,35,0.5,0.22,0.16,0.04,0.04,0.14,152,39,41.4,37.7,0.47,0.77,6.01,8.5,0.87,19.41,0.84,17.64,2.97,0.65,0.13,0.74,0.11,0.2,0.31
