File,WC,Nodes,Edges,RE,PE,L1,L2,L3,LCC,LSC,ATD,Density,Diameter,ASP,CC
1000SCN,30.0,23.0,26.0,1.1111111111111112,1.6666666666666667,0.0,0.5555555555555556,0.5555555555555556,18.11111111111111,10.777777777777779,2.2824400000000002,0.09861297952831133,7.777777777777778,3.3264447629997047,0.050033112504826206
1001SCN,30.0,23.317073170731707,26.5609756097561,0.9024390243902439,1.5121951219512195,0.34146341463414637,0.6097560975609756,0.5609756097560976,21.585365853658537,9.0,2.3096827292682915,0.09816630918256386,11.560975609756097,4.622627673615809,0.04805963730535766
1002SCN,30.0,25.272727272727273,26.363636363636363,0.45454545454545453,0.8181818181818182,0.0,0.36363636363636365,0.18181818181818182,21.272727272727273,8.818181818181818,2.0876923272727272,0.08339515556906861,11.818181818181818,4.790679140410598,0.012373737373737375
1003SCN,30.0,22.6,25.0,1.6,2.4,0.6,0.8,0.8,14.4,3.8,2.2365659,0.09316283106672121,7.8,3.3719913419913423,0.08180937991578725
1004SCN,30.0,23.625,26.416666666666668,0.5833333333333334,1.2083333333333333,0.25,0.625,0.5416666666666666,22.041666666666668,10.916666666666666,2.250792941666667,0.09501599186191101,10.5,4.311093930965213,0.038015896543070464
1006SCN,30.0,24.636363636363637,25.454545454545453,0.36363636363636365,0.6363636363636364,0.18181818181818182,0.2727272727272727,0.09090909090909091,21.181818181818183,6.363636363636363,2.084745518181818,0.08616999893679735,11.181818181818182,4.500895703256232,0.01598431871159144
1009SCN,30.0,25.0,26.375,0.9375,1.0,0.4375,0.125,0.125,19.0,9.4375,2.1159108375,0.08361504538134973,10.1875,4.236264546422416,0.021242283950617287
1010SCN,30.0,23.4,26.9,0.3,1.1,0.2,0.8,0.7,21.5,15.3,2.32973328,0.1000030779110063,8.2,3.605891180901479,0.049816676569617746
1011SCN,30.0,25.8,26.8,0.0,0.2,0.0,0.2,0.2,21.6,7.6,2.0850370600000003,0.08386151368760064,10.2,4.240166650368023,0.010133333333333334
1012SCN,30.0,23.818181818181817,27.545454545454547,1.0909090909090908,1.5454545454545454,0.18181818181818182,0.45454545454545453,0.36363636363636365,22.454545454545453,10.909090909090908,2.360034709090909,0.09899087002636973,11.545454545454545,4.643527132404138,0.028802964712055623
1013SCN,30.0,24.818181818181817,26.636363636363637,0.2727272727272727,1.0909090909090908,0.2727272727272727,0.8181818181818182,0.18181818181818182,21.181818181818183,8.0,2.1651884,0.08720936361252568,11.454545454545455,4.59592020409358,0.008016528925619833
1014SCN,30.0,24.2,26.4,0.6,0.8,0.0,0.2,0.2,22.2,9.0,2.19448098,0.09279905601644732,9.2,3.9910577237482605,0.017965367965367966
1015SCN,30.0,25.0,27.0,0.6363636363636364,0.7272727272727273,0.09090909090909091,0.09090909090909091,0.45454545454545453,22.272727272727273,10.363636363636363,2.1726993272727273,0.08848226579451875,11.727272727272727,4.744508077195824,0.025139908400777965
1017SCN,30.0,23.666666666666668,27.333333333333332,1.0,1.0,0.0,0.0,0.6666666666666666,23.666666666666668,14.0,2.3103864333333335,0.09837505489679403,11.666666666666666,4.783596837944664,0.03870772946859904
1018SCN,30.0,22.333333333333332,26.916666666666668,0.6666666666666666,1.3333333333333333,0.08333333333333333,0.6666666666666666,0.9166666666666666,20.75,13.916666666666666,2.4381878833333333,0.11002000959162085,7.833333333333333,3.433541587473812,0.0806825588528487
1020SCN,30.0,22.0,26.714285714285715,1.2857142857142858,1.4285714285714286,0.2857142857142857,0.14285714285714285,0.5714285714285714,22.0,12.0,2.4420048857142858,0.11004072386877224,9.0,3.8877138262558337,0.06095093242503693
1021SCN,30.0,21.88888888888889,27.0,1.7777777777777777,2.4444444444444446,0.2222222222222222,0.6666666666666666,0.6666666666666666,20.88888888888889,13.0,2.5360280555555557,0.11269916284551124,9.88888888888889,4.070805474865166,0.09644058818543944
1022SCN,30.0,24.555555555555557,26.77777777777778,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.6666666666666666,21.666666666666668,9.444444444444445,2.198513388888889,0.09159323006004928,11.555555555555555,4.530089840944149,0.046218898385565046
1023SCN,30.0,22.2,27.0,1.2,2.0,0.0,0.8,1.0,20.0,16.8,2.4607108799999997,0.10895689157016389,7.2,3.4684786211828884,0.06804385964912281
1024SCN,30.0,23.5,26.5,1.1666666666666667,1.6666666666666667,0.16666666666666666,0.5,0.5,17.833333333333332,10.666666666666666,2.3077181,0.09755034142075915,9.0,3.5570889014367277,0.0594873859366613
1025SCN,30.0,24.666666666666668,27.333333333333332,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.6666666666666666,22.88888888888889,12.11111111111111,2.2290003777777776,0.09236029091434722,10.333333333333334,4.318015757725903,0.06810797643506289
1027SCN,30.0,23.833333333333332,26.5,0.6666666666666666,1.5,0.0,0.8333333333333334,0.5,22.666666666666668,11.0,2.2473288333333334,0.09406930908456462,11.666666666666666,4.596933390789227,0.038091563786008226
1028SCN,30.0,23.904761904761905,26.714285714285715,0.6190476190476191,1.0476190476190477,0.38095238095238093,0.42857142857142855,0.14285714285714285,22.047619047619047,11.142857142857142,2.2518864666666665,0.09399670097719567,10.380952380952381,4.259114301270908,0.016169200135038645
1029SCN,30.0,24.6,27.066666666666666,0.3333333333333333,0.8,0.2,0.4666666666666667,0.26666666666666666,22.666666666666668,12.133333333333333,2.21363368,0.09117394682612073,10.666666666666666,4.4016895929086,0.021781818181818183
1030SCN,30.0,24.375,27.875,1.125,1.875,0.0,0.75,0.5,23.25,10.0,2.311079575,0.09336706316397392,12.0,4.788024129019552,0.05526190476190476
1031SCN,30.0,23.363636363636363,27.545454545454547,0.7272727272727273,1.2727272727272727,0.45454545454545453,0.5454545454545454,1.2727272727272727,22.454545454545453,14.0,2.374868154545455,0.10055806254474862,10.454545454545455,4.240309109254398,0.07617145480781845
1032SCN,30.0,24.8,27.2,1.0,1.4,0.0,0.4,0.2,23.2,6.6,2.22395444,0.08969200779727096,11.8,4.922089393444084,0.06015384615384615
1033SCN,30.0,22.5,28.0,0.5,1.0,0.5,0.5,1.0,22.5,13.25,2.503030275,0.11143855191338028,9.0,3.932934113940979,0.072739898989899
1034SCN,30.0,24.27777777777778,27.61111111111111,0.4444444444444444,0.8333333333333334,0.1111111111111111,0.3888888888888889,0.5,22.88888888888889,14.722222222222221,2.2876221666666674,0.09580157955443996,10.166666666666666,4.340651070345062,0.037814986200654474
1035SCN,30.0,24.083333333333332,27.375,0.6666666666666666,1.375,0.125,0.7083333333333334,0.3333333333333333,21.833333333333332,12.75,2.291766508333333,0.09514034909915918,10.5,4.370487214142652,0.027570267896354857
1036SCN,30.0,23.238095238095237,26.19047619047619,1.380952380952381,1.5714285714285714,0.23809523809523808,0.3333333333333333,0.5714285714285714,21.19047619047619,7.380952380952381,2.2973396714285714,0.09826271303195713,10.571428571428571,4.415503376673694,0.055450484963129154
1037SCN,30.0,23.142857142857142,28.0,1.2857142857142858,1.7142857142857142,0.0,0.42857142857142855,0.2857142857142857,23.142857142857142,15.714285714285714,2.4357444285714283,0.10378983335505075,8.857142857142858,3.7769689937391795,0.03090801538006507
1038SCN,30.0,23.5,26.75,1.25,2.25,0.25,1.0,1.0,22.5,7.0,2.2796146250000002,0.09220120459250894,12.75,4.971493506493506,0.07439105339105338
1039SCN,30.0,23.666666666666668,27.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.3333333333333333,20.0,10.666666666666666,2.2881818333333332,0.09525378003638874,10.333333333333334,3.9968435646454226,0.022727272727272724
1040SCN,30.0,23.875,27.5,0.75,1.125,0.125,0.375,0.5,22.25,13.625,2.3272653375,0.09882405637840419,10.375,4.21416431013685,0.06538170823885109
