File,WC,Nodes,Edges,RE,PE,L1,L2,L3,LCC,LSC,ATD,Density,Diameter,ASP,CC
1000SCN_0_processed,273,136,244,24,33,0,9,13,136,98,3.5882354,0.02298474945533769,11,3.7164488017429202,0.09014881360469595
1001SCN_0_processed,1240,401,1129,250,276,14,32,123,401,356,5.630923,0.010461346633416458,8,3.2365586034912712,0.1345171953687962
1002SCN_0_processed,357,170,324,31,39,0,8,10,169,150,3.8117647,0.01983988861816916,10,3.7816286277824718,0.049962360032692506
1003SCN_0_processed,176,92,152,15,20,3,6,7,88,55,3.3043478,0.030817009077878644,13,4.44383490073145,0.08611672144280841
1004SCN_0_processed,727,236,661,108,132,6,24,71,236,209,5.601695,0.018860439956725567,9,3.302055535521098,0.11953232005552256
1006SCN_0_processed,356,168,311,18,24,2,6,7,167,133,3.702381,0.02031650983746792,8,3.613087078854339,0.06994196279910565
1009SCN_0_processed,490,218,446,44,50,7,9,22,216,192,4.091743,0.01644611677165687,9,3.7328596037898367,0.08435815149898643
1010SCN_0_processed,306,157,283,20,30,2,10,18,155,135,3.6050956,0.020496488649354893,10,3.4852115626309175,0.13065051962564003
1011SCN_0_processed,164,104,150,6,9,0,3,2,102,77,2.8846154,0.026325616131441375,11,4.372743156668609,0.03733001141908025
1012SCN_0_processed,349,153,331,43,52,2,9,10,153,136,4.3267975,0.023821809425524594,11,3.708462332301341,0.07467987819775593
1013SCN_0_processed,348,164,314,26,38,3,12,17,164,138,3.8292682,0.0204249588508155,10,3.6804578781984154,0.07875775232959328
1014SCN_0_processed,165,91,150,11,12,0,1,7,91,71,3.2967033,0.0336996336996337,7,3.4671550671550677,0.0967289731025995
1015SCN_0_processed,333,172,309,31,33,1,2,12,172,156,3.5930233,0.01869985040119679,8,3.862233102135181,0.07812302537405941
1017SCN_0_processed,112,67,104,7,8,0,1,2,67,61,3.1044776,0.04341926729986431,8,3.859339665309814,0.05610798819754043
1018SCN_0_processed,376,162,348,38,53,1,15,31,160,135,4.296296,0.02254428341384863,9,3.3979559748427675,0.13805877547352394
1020SCN_0_processed,234,106,212,36,39,2,4,8,106,93,4.0,0.030727762803234502,8,3.3728661275831087,0.1426264983674096
1021SCN_0_processed,296,121,275,47,55,2,8,16,120,115,4.5454545,0.03002754820936639,7,3.323669467787114,0.1431854355619164
1022SCN_0_processed,299,141,276,28,31,3,3,15,140,119,3.9148936,0.024518743667679838,8,3.478006166495375,0.1241418756260898
1023SCN_0_processed,161,86,147,10,14,0,4,6,85,72,3.4186046,0.036388508891928864,9,3.7170868347338937,0.08361641418556963
1024SCN_0_processed,200,107,182,18,24,1,6,16,92,73,3.401869,0.027684711691059776,9,3.5334448160535117,0.12405681739106696
1025SCN_0_processed,294,149,276,15,19,4,4,17,148,137,3.704698,0.022945764556502813,11,3.580989152417724,0.11999547443580938
1027SCN_0_processed,186,105,168,10,16,0,6,9,100,78,3.2,0.02783882783882784,13,3.8113131313131317,0.11728887605734895
1028SCN_0_processed,657,263,604,77,88,8,13,28,263,241,4.593156,0.014744724697413869,7,3.528604185412012,0.06130163521647097
1029SCN_0_processed,452,208,420,25,37,3,12,27,208,189,4.0384617,0.017651430694908956,9,3.6157562244518777,0.14161036976966743
1030SCN_0_processed,250,127,236,24,31,0,7,15,127,108,3.7165353,0.025621797275340582,9,3.548431446069239,0.11279261987923404
1031SCN_0_processed,348,161,327,40,46,5,6,23,154,142,4.062112,0.02142857142857143,7,3.4021729904082854,0.10882002728057051
1032SCN_0_processed,163,93,150,12,15,0,3,4,90,76,3.2258065,0.03155680224403927,8,3.8042446941323362,0.06103380420268465
1033SCN_0_processed,134,64,125,12,17,2,5,9,63,57,3.90625,0.05257936507936508,7,2.9672299027137736,0.08789128465381366
